scale_id,scale,parent_id,x_min,x_max,y_min,y_max,n_iter,n_step_size,n_sampling,n_samples_anova,n_early_stopping
europe,continental,NA,-10,40,35,70,400,NA,100,500,NA
america,continental,NA,-130,-60,30,70,400,NA,100,500,NA
asia,continental,NA,60,140,50,75,400,NA,100,500,NA
eu_r001,regional,europe,-10,0,35,40,1600,NA,250,500,NA
eu_r002,regional,europe,-10,0,40,60,1600,NA,250,500,NA
eu_r003,regional,europe,-10,0,60,70,1600,NA,250,500,NA
eu_r004,regional,europe,0,20,35,40,3200,NA,250,500,NA
eu_r005,regional,europe,0,20,40,60,3200,NA,250,500,NA
eu_r006,regional,europe,0,20,60,70,1600,NA,250,500,NA
eu_r007,regional,europe,20,40,35,40,1600,NA,250,500,NA
eu_r008,regional,europe,20,40,40,60,3200,NA,250,500,NA
eu_r009,regional,europe,20,40,60,70,1600,NA,250,500,NA
am_r001,regional,america,-130,-120,30,40,1600,NA,250,500,NA
am_r002,regional,america,-130,-120,40,60,3200,NA,250,500,NA
am_r003,regional,america,-130,-120,60,70,1600,NA,250,500,NA
am_r004,regional,america,-120,-100,30,40,1600,NA,250,500,NA
am_r005,regional,america,-120,-100,40,60,1600,NA,250,500,NA
am_r006,regional,america,-120,-100,60,70,3200,NA,250,500,NA
am_r007,regional,america,-100,-80,30,40,3200,NA,250,500,NA
am_r008,regional,america,-100,-80,40,60,3200,NA,250,500,NA
am_r009,regional,america,-100,-80,60,70,1600,NA,250,500,NA
am_r010,regional,america,-80,-60,30,40,3200,NA,250,500,NA
am_r011,regional,america,-80,-60,40,60,1600,NA,250,500,NA
am_r012,regional,america,-80,-60,60,70,1600,NA,250,500,NA
as_r001,regional,asia,60,80,50,60,1600,NA,250,500,NA
as_r002,regional,asia,60,80,60,75,1600,NA,250,500,NA
as_r003,regional,asia,80,100,50,60,1600,NA,250,500,NA
as_r004,regional,asia,80,100,60,75,1600,NA,250,500,NA
as_r005,regional,asia,100,120,50,60,1600,NA,250,500,NA
as_r006,regional,asia,100,120,60,75,1600,NA,250,500,NA
as_r007,regional,asia,120,140,50,60,1600,NA,250,500,NA
as_r008,regional,asia,120,140,60,75,3200,NA,250,500,NA
eu_r001_l001,local,eu_r001,-10,-5,35,40,3200,NA,200,500,NA
eu_r001_l002,local,eu_r001,-5,0,35,40,6400,NA,200,500,NA
eu_r002_l001,local,eu_r002,-10,-5,40,45,10000,NA,200,500,NA
eu_r002_l002,local,eu_r002,-10,-5,45,50,3200,NA,200,500,NA
eu_r002_l003,local,eu_r002,-10,-5,50,55,3200,NA,200,500,NA
eu_r002_l004,local,eu_r002,-10,-5,55,60,6400,NA,200,500,NA
eu_r002_l005,local,eu_r002,-5,0,40,45,3200,NA,200,500,NA
eu_r002_l006,local,eu_r002,-5,0,45,50,6400,NA,200,500,NA
eu_r002_l007,local,eu_r002,-5,0,50,55,3200,NA,200,500,NA
eu_r002_l008,local,eu_r002,-5,0,55,60,10000,NA,200,500,NA
eu_r003_l001,local,eu_r003,-10,-5,60,65,3200,NA,200,500,NA
eu_r003_l002,local,eu_r003,-10,-5,65,70,3200,NA,200,500,NA
eu_r003_l003,local,eu_r003,-5,0,60,65,3200,NA,200,500,NA
eu_r003_l004,local,eu_r003,-5,0,65,70,3200,NA,200,500,NA
eu_r004_l001,local,eu_r004,0,5,35,40,3200,NA,200,500,NA
eu_r004_l002,local,eu_r004,5,10,35,40,3200,NA,200,500,NA
eu_r004_l003,local,eu_r004,10,15,35,40,10000,NA,800,500,NA
eu_r004_l004,local,eu_r004,15,20,35,40,3200,NA,200,500,NA
eu_r005_l001,local,eu_r005,0,5,40,45,6400,NA,200,500,NA
eu_r005_l002,local,eu_r005,0,5,45,50,6400,NA,200,500,NA
eu_r005_l003,local,eu_r005,0,5,50,55,6400,NA,400,500,NA
eu_r005_l004,local,eu_r005,0,5,55,60,3200,NA,200,500,NA
eu_r005_l005,local,eu_r005,5,10,40,45,3200,NA,200,500,NA
eu_r005_l006,local,eu_r005,5,10,45,50,3200,NA,200,500,NA
eu_r005_l007,local,eu_r005,5,10,50,55,6400,NA,200,500,NA
eu_r005_l008,local,eu_r005,5,10,55,60,6400,NA,200,500,NA
eu_r005_l009,local,eu_r005,10,15,40,45,6400,NA,200,500,NA
eu_r005_l010,local,eu_r005,10,15,45,50,6400,NA,200,500,NA
eu_r005_l011,local,eu_r005,10,15,50,55,3200,NA,200,500,NA
eu_r005_l012,local,eu_r005,10,15,55,60,6400,NA,400,500,NA
eu_r005_l013,local,eu_r005,15,20,40,45,3200,NA,200,500,NA
eu_r005_l014,local,eu_r005,15,20,45,50,10000,NA,400,500,NA
eu_r005_l015,local,eu_r005,15,20,50,55,6400,NA,200,500,NA
eu_r005_l016,local,eu_r005,15,20,55,60,10000,NA,800,500,NA
eu_r006_l001,local,eu_r006,0,5,60,65,3200,NA,200,500,NA
eu_r006_l002,local,eu_r006,0,5,65,70,3200,NA,200,500,NA
eu_r006_l003,local,eu_r006,5,10,60,65,3200,NA,200,500,NA
eu_r006_l004,local,eu_r006,5,10,65,70,3200,NA,200,500,NA
eu_r006_l005,local,eu_r006,10,15,60,65,6400,NA,200,500,NA
eu_r006_l006,local,eu_r006,10,15,65,70,3200,NA,200,500,NA
eu_r006_l007,local,eu_r006,15,20,60,65,3200,NA,200,500,NA
eu_r006_l008,local,eu_r006,15,20,65,70,3200,NA,200,500,NA
eu_r007_l001,local,eu_r007,20,25,35,40,3200,NA,200,500,NA
eu_r007_l002,local,eu_r007,25,30,35,40,3200,NA,200,500,NA
eu_r007_l003,local,eu_r007,30,35,35,40,3200,NA,200,500,NA
eu_r007_l004,local,eu_r007,35,40,35,40,3200,NA,200,500,NA
eu_r008_l001,local,eu_r008,20,25,40,45,3200,NA,200,500,NA
eu_r008_l002,local,eu_r008,20,25,45,50,3200,NA,200,500,NA
eu_r008_l003,local,eu_r008,20,25,50,55,6400,NA,200,500,NA
eu_r008_l004,local,eu_r008,20,25,55,60,6400,NA,200,500,NA
eu_r008_l005,local,eu_r008,25,30,40,45,3200,NA,200,500,NA
eu_r008_l006,local,eu_r008,25,30,45,50,3200,NA,200,500,NA
eu_r008_l007,local,eu_r008,25,30,50,55,10000,NA,200,500,NA
eu_r008_l008,local,eu_r008,25,30,55,60,3200,NA,200,500,NA
eu_r008_l009,local,eu_r008,30,35,40,45,3200,NA,200,500,NA
eu_r008_l010,local,eu_r008,30,35,45,50,3200,NA,200,500,NA
eu_r008_l011,local,eu_r008,30,35,50,55,3200,NA,200,500,NA
eu_r008_l012,local,eu_r008,30,35,55,60,3200,NA,200,500,NA
eu_r008_l013,local,eu_r008,35,40,40,45,3200,NA,200,500,NA
eu_r008_l014,local,eu_r008,35,40,45,50,3200,NA,200,500,NA
eu_r008_l015,local,eu_r008,35,40,50,55,3200,NA,200,500,NA
eu_r008_l016,local,eu_r008,35,40,55,60,3200,NA,200,500,NA
eu_r009_l001,local,eu_r009,20,25,60,65,6400,NA,200,500,NA
eu_r009_l002,local,eu_r009,20,25,65,70,6400,NA,200,500,NA
eu_r009_l003,local,eu_r009,25,30,60,65,10000,NA,400,500,NA
eu_r009_l004,local,eu_r009,25,30,65,70,6400,NA,200,500,NA
eu_r009_l005,local,eu_r009,30,35,60,65,3200,NA,200,500,NA
eu_r009_l006,local,eu_r009,30,35,65,70,3200,NA,200,500,NA
eu_r009_l007,local,eu_r009,35,40,60,65,3200,NA,200,500,NA
eu_r009_l008,local,eu_r009,35,40,65,70,3200,NA,200,500,NA
am_r001_l001,local,am_r001,-130,-125,30,35,3200,NA,200,500,NA
am_r001_l002,local,am_r001,-130,-125,35,40,3200,NA,200,500,NA
am_r001_l003,local,am_r001,-125,-120,30,35,3200,NA,200,500,NA
am_r001_l004,local,am_r001,-125,-120,35,40,3200,NA,200,500,NA
am_r002_l001,local,am_r002,-130,-125,40,45,3200,NA,200,500,NA
am_r002_l002,local,am_r002,-130,-125,45,50,3200,NA,200,500,NA
am_r002_l003,local,am_r002,-130,-125,50,55,3200,NA,200,500,NA
am_r002_l004,local,am_r002,-130,-125,55,60,3200,NA,200,500,NA
am_r002_l005,local,am_r002,-125,-120,40,45,3200,NA,200,500,NA
am_r002_l006,local,am_r002,-125,-120,45,50,3200,NA,200,500,NA
am_r002_l007,local,am_r002,-125,-120,50,55,3200,NA,200,500,NA
am_r002_l008,local,am_r002,-125,-120,55,60,3200,NA,200,500,NA
am_r003_l001,local,am_r003,-130,-125,60,65,3200,NA,200,500,NA
am_r003_l002,local,am_r003,-130,-125,65,70,3200,NA,200,500,NA
am_r003_l003,local,am_r003,-125,-120,60,65,3200,NA,200,500,NA
am_r003_l004,local,am_r003,-125,-120,65,70,3200,NA,200,500,NA
am_r004_l001,local,am_r004,-120,-115,30,35,3200,NA,200,500,NA
am_r004_l002,local,am_r004,-120,-115,35,40,10000,NA,400,500,NA
am_r004_l003,local,am_r004,-115,-110,30,35,3200,NA,200,500,NA
am_r004_l004,local,am_r004,-115,-110,35,40,3200,NA,200,500,NA
am_r004_l005,local,am_r004,-110,-105,30,35,3200,NA,200,500,NA
am_r004_l006,local,am_r004,-110,-105,35,40,6400,NA,200,500,NA
am_r004_l007,local,am_r004,-105,-100,30,35,3200,NA,200,500,NA
am_r004_l008,local,am_r004,-105,-100,35,40,3200,NA,200,500,NA
am_r005_l001,local,am_r005,-120,-115,40,45,3200,NA,200,500,NA
am_r005_l002,local,am_r005,-120,-115,45,50,3200,NA,200,500,NA
am_r005_l003,local,am_r005,-120,-115,50,55,6400,NA,400,500,NA
am_r005_l004,local,am_r005,-120,-115,55,60,3200,NA,200,500,NA
am_r005_l005,local,am_r005,-115,-110,40,45,6400,NA,200,500,NA
am_r005_l006,local,am_r005,-115,-110,45,50,3200,NA,200,500,NA
am_r005_l007,local,am_r005,-115,-110,50,55,3200,NA,200,500,NA
am_r005_l008,local,am_r005,-115,-110,55,60,6400,NA,400,500,NA
am_r005_l009,local,am_r005,-110,-105,40,45,10000,NA,1600,500,NA
am_r005_l010,local,am_r005,-110,-105,45,50,3200,NA,200,500,NA
am_r005_l011,local,am_r005,-110,-105,50,55,3200,NA,200,500,NA
am_r005_l012,local,am_r005,-110,-105,55,60,3200,NA,200,500,NA
am_r005_l013,local,am_r005,-105,-100,40,45,3200,NA,200,500,NA
am_r005_l014,local,am_r005,-105,-100,45,50,3200,NA,200,500,NA
am_r005_l015,local,am_r005,-105,-100,50,55,3200,NA,200,500,NA
am_r005_l016,local,am_r005,-105,-100,55,60,3200,NA,200,500,NA
am_r006_l001,local,am_r006,-120,-115,60,65,3200,NA,200,500,NA
am_r006_l002,local,am_r006,-120,-115,65,70,3200,NA,200,500,NA
am_r006_l003,local,am_r006,-115,-110,60,65,3200,NA,200,500,NA
am_r006_l004,local,am_r006,-115,-110,65,70,3200,NA,200,500,NA
am_r006_l005,local,am_r006,-110,-105,60,65,3200,NA,200,500,NA
am_r006_l006,local,am_r006,-110,-105,65,70,3200,NA,200,500,NA
am_r006_l007,local,am_r006,-105,-100,60,65,3200,NA,200,500,NA
am_r006_l008,local,am_r006,-105,-100,65,70,3200,NA,200,500,NA
am_r007_l001,local,am_r007,-100,-95,30,35,3200,NA,200,500,NA
am_r007_l002,local,am_r007,-100,-95,35,40,3200,NA,200,500,NA
am_r007_l003,local,am_r007,-95,-90,30,35,3200,NA,200,500,NA
am_r007_l004,local,am_r007,-95,-90,35,40,10000,NA,800,500,0
am_r007_l005,local,am_r007,-90,-85,30,35,3200,NA,200,500,NA
am_r007_l006,local,am_r007,-90,-85,35,40,3200,NA,200,500,NA
am_r007_l007,local,am_r007,-85,-80,30,35,3200,NA,200,500,NA
am_r007_l008,local,am_r007,-85,-80,35,40,3200,NA,200,500,NA
am_r008_l001,local,am_r008,-100,-95,40,45,3200,NA,200,500,NA
am_r008_l002,local,am_r008,-100,-95,45,50,3200,NA,200,500,NA
am_r008_l003,local,am_r008,-100,-95,50,55,3200,NA,200,500,NA
am_r008_l004,local,am_r008,-100,-95,55,60,3200,NA,200,500,NA
am_r008_l005,local,am_r008,-95,-90,40,45,6400,NA,200,500,NA
am_r008_l006,local,am_r008,-95,-90,45,50,6400,NA,200,500,NA
am_r008_l007,local,am_r008,-95,-90,50,55,3200,NA,200,500,NA
am_r008_l008,local,am_r008,-95,-90,55,60,3200,NA,200,500,NA
am_r008_l009,local,am_r008,-90,-85,40,45,6400,NA,200,500,NA
am_r008_l010,local,am_r008,-90,-85,45,50,3200,NA,200,500,NA
am_r008_l011,local,am_r008,-90,-85,50,55,3200,NA,200,500,NA
am_r008_l012,local,am_r008,-90,-85,55,60,3200,NA,200,500,NA
am_r008_l013,local,am_r008,-85,-80,40,45,6400,NA,200,500,NA
am_r008_l014,local,am_r008,-85,-80,45,50,10000,NA,800,500,NA
am_r008_l015,local,am_r008,-85,-80,50,55,3200,NA,200,500,NA
am_r008_l016,local,am_r008,-85,-80,55,60,3200,NA,200,500,NA
am_r009_l001,local,am_r009,-100,-95,60,65,3200,NA,200,500,NA
am_r009_l002,local,am_r009,-100,-95,65,70,3200,NA,200,500,NA
am_r009_l003,local,am_r009,-95,-90,60,65,6400,NA,400,500,NA
am_r009_l004,local,am_r009,-95,-90,65,70,3200,NA,200,500,NA
am_r009_l005,local,am_r009,-90,-85,60,65,3200,NA,200,500,NA
am_r009_l006,local,am_r009,-90,-85,65,70,3200,NA,200,500,NA
am_r009_l007,local,am_r009,-85,-80,60,65,3200,NA,200,500,NA
am_r009_l008,local,am_r009,-85,-80,65,70,3200,NA,200,500,NA
am_r010_l001,local,am_r010,-80,-75,30,35,3200,NA,200,500,NA
am_r010_l002,local,am_r010,-80,-75,35,40,6400,NA,200,500,NA
am_r010_l003,local,am_r010,-75,-70,30,35,3200,NA,200,500,NA
am_r010_l004,local,am_r010,-75,-70,35,40,3200,NA,200,500,NA
am_r010_l005,local,am_r010,-70,-65,30,35,3200,NA,200,500,NA
am_r010_l006,local,am_r010,-70,-65,35,40,3200,NA,200,500,NA
am_r010_l007,local,am_r010,-65,-60,30,35,3200,NA,200,500,NA
am_r010_l008,local,am_r010,-65,-60,35,40,3200,NA,200,500,NA
am_r011_l001,local,am_r011,-80,-75,40,45,6400,NA,200,500,NA
am_r011_l002,local,am_r011,-80,-75,45,50,3200,NA,200,500,NA
am_r011_l003,local,am_r011,-80,-75,50,55,3200,NA,200,500,NA
am_r011_l004,local,am_r011,-80,-75,55,60,6400,NA,200,500,NA
am_r011_l005,local,am_r011,-75,-70,40,45,6400,NA,200,500,NA
am_r011_l006,local,am_r011,-75,-70,45,50,3200,NA,200,500,NA
am_r011_l007,local,am_r011,-75,-70,50,55,3200,NA,200,500,NA
am_r011_l008,local,am_r011,-75,-70,55,60,3200,NA,200,500,NA
am_r011_l009,local,am_r011,-70,-65,40,45,6400,NA,200,500,NA
am_r011_l010,local,am_r011,-70,-65,45,50,6400,NA,200,500,NA
am_r011_l011,local,am_r011,-70,-65,50,55,3200,NA,200,500,NA
am_r011_l012,local,am_r011,-70,-65,55,60,3200,NA,200,500,NA
am_r011_l013,local,am_r011,-65,-60,40,45,3200,NA,200,500,NA
am_r011_l014,local,am_r011,-65,-60,45,50,6400,NA,200,500,NA
am_r011_l015,local,am_r011,-65,-60,50,55,3200,NA,200,500,NA
am_r011_l016,local,am_r011,-65,-60,55,60,3200,NA,200,500,NA
am_r012_l001,local,am_r012,-80,-75,60,65,3200,NA,200,500,NA
am_r012_l002,local,am_r012,-80,-75,65,70,3200,NA,200,500,NA
am_r012_l003,local,am_r012,-75,-70,60,65,3200,NA,200,500,NA
am_r012_l004,local,am_r012,-75,-70,65,70,3200,NA,200,500,NA
am_r012_l005,local,am_r012,-70,-65,60,65,3200,NA,200,500,NA
am_r012_l006,local,am_r012,-70,-65,65,70,3200,NA,200,500,NA
am_r012_l007,local,am_r012,-65,-60,60,65,3200,NA,200,500,NA
am_r012_l008,local,am_r012,-65,-60,65,70,3200,NA,200,500,NA
as_r001_l001,local,as_r001,60,65,50,55,3200,NA,200,500,NA
as_r001_l002,local,as_r001,60,65,55,60,3200,NA,200,500,NA
as_r001_l003,local,as_r001,65,70,50,55,3200,NA,200,500,NA
as_r001_l004,local,as_r001,65,70,55,60,3200,NA,200,500,NA
as_r001_l005,local,as_r001,70,75,50,55,3200,NA,200,500,NA
as_r001_l006,local,as_r001,70,75,55,60,3200,NA,200,500,NA
as_r001_l007,local,as_r001,75,80,50,55,3200,NA,200,500,NA
as_r001_l008,local,as_r001,75,80,55,60,3200,NA,200,500,NA
as_r002_l001,local,as_r002,60,65,60,65,3200,NA,200,500,NA
as_r002_l002,local,as_r002,60,65,65,70,3200,NA,200,500,NA
as_r002_l003,local,as_r002,60,65,70,75,3200,NA,200,500,NA
as_r002_l004,local,as_r002,65,70,60,65,3200,NA,200,500,NA
as_r002_l005,local,as_r002,65,70,65,70,3200,NA,200,500,NA
as_r002_l006,local,as_r002,65,70,70,75,3200,NA,200,500,NA
as_r002_l007,local,as_r002,70,75,60,65,3200,NA,200,500,NA
as_r002_l008,local,as_r002,70,75,65,70,3200,NA,200,500,NA
as_r002_l009,local,as_r002,70,75,70,75,3200,NA,200,500,NA
as_r002_l010,local,as_r002,75,80,60,65,3200,NA,200,500,NA
as_r002_l011,local,as_r002,75,80,65,70,3200,NA,200,500,NA
as_r002_l012,local,as_r002,75,80,70,75,3200,NA,200,500,NA
as_r003_l001,local,as_r003,80,85,50,55,3200,NA,200,500,NA
as_r003_l002,local,as_r003,80,85,55,60,3200,NA,200,500,NA
as_r003_l003,local,as_r003,85,90,50,55,3200,NA,200,500,NA
as_r003_l004,local,as_r003,85,90,55,60,3200,NA,200,500,NA
as_r003_l005,local,as_r003,90,95,50,55,3200,NA,200,500,NA
as_r003_l006,local,as_r003,90,95,55,60,3200,NA,200,500,NA
as_r003_l007,local,as_r003,95,100,50,55,3200,NA,200,500,NA
as_r003_l008,local,as_r003,95,100,55,60,3200,NA,200,500,NA
as_r004_l001,local,as_r004,80,85,60,65,3200,NA,200,500,NA
as_r004_l002,local,as_r004,80,85,65,70,3200,NA,200,500,NA
as_r004_l003,local,as_r004,80,85,70,75,3200,NA,200,500,NA
as_r004_l004,local,as_r004,85,90,60,65,3200,NA,200,500,NA
as_r004_l005,local,as_r004,85,90,65,70,3200,NA,200,500,NA
as_r004_l006,local,as_r004,85,90,70,75,3200,NA,200,500,NA
as_r004_l007,local,as_r004,90,95,60,65,3200,NA,200,500,NA
as_r004_l008,local,as_r004,90,95,65,70,3200,NA,200,500,NA
as_r004_l009,local,as_r004,90,95,70,75,3200,NA,200,500,NA
as_r004_l010,local,as_r004,95,100,60,65,3200,NA,200,500,NA
as_r004_l011,local,as_r004,95,100,65,70,3200,NA,200,500,NA
as_r004_l012,local,as_r004,95,100,70,75,3200,NA,200,500,NA
as_r005_l001,local,as_r005,100,105,50,55,3200,NA,200,500,NA
as_r005_l002,local,as_r005,100,105,55,60,3200,NA,200,500,NA
as_r005_l003,local,as_r005,105,110,50,55,3200,NA,200,500,NA
as_r005_l004,local,as_r005,105,110,55,60,3200,NA,200,500,NA
as_r005_l005,local,as_r005,110,115,50,55,3200,NA,200,500,NA
as_r005_l006,local,as_r005,110,115,55,60,3200,NA,200,500,NA
as_r005_l007,local,as_r005,115,120,50,55,3200,NA,200,500,NA
as_r005_l008,local,as_r005,115,120,55,60,3200,NA,200,500,NA
as_r006_l001,local,as_r006,100,105,60,65,3200,NA,200,500,NA
as_r006_l002,local,as_r006,100,105,65,70,3200,NA,200,500,NA
as_r006_l003,local,as_r006,100,105,70,75,3200,NA,200,500,NA
as_r006_l004,local,as_r006,105,110,60,65,3200,NA,200,500,NA
as_r006_l005,local,as_r006,105,110,65,70,3200,NA,200,500,NA
as_r006_l006,local,as_r006,105,110,70,75,3200,NA,200,500,NA
as_r006_l007,local,as_r006,110,115,60,65,3200,NA,200,500,NA
as_r006_l008,local,as_r006,110,115,65,70,3200,NA,200,500,NA
as_r006_l009,local,as_r006,110,115,70,75,3200,NA,200,500,NA
as_r006_l010,local,as_r006,115,120,60,65,3200,NA,200,500,NA
as_r006_l011,local,as_r006,115,120,65,70,3200,NA,200,500,NA
as_r006_l012,local,as_r006,115,120,70,75,3200,NA,200,500,NA
as_r007_l001,local,as_r007,120,125,50,55,3200,NA,200,500,NA
as_r007_l002,local,as_r007,120,125,55,60,3200,NA,200,500,NA
as_r007_l003,local,as_r007,125,130,50,55,3200,NA,200,500,NA
as_r007_l004,local,as_r007,125,130,55,60,3200,NA,200,500,NA
as_r007_l005,local,as_r007,130,135,50,55,3200,NA,200,500,NA
as_r007_l006,local,as_r007,130,135,55,60,3200,NA,200,500,NA
as_r007_l007,local,as_r007,135,140,50,55,3200,NA,200,500,NA
as_r007_l008,local,as_r007,135,140,55,60,3200,NA,200,500,NA
as_r008_l001,local,as_r008,120,125,60,65,3200,NA,200,500,NA
as_r008_l002,local,as_r008,120,125,65,70,3200,NA,200,500,NA
as_r008_l003,local,as_r008,120,125,70,75,3200,NA,200,500,NA
as_r008_l004,local,as_r008,125,130,60,65,3200,NA,200,500,NA
as_r008_l005,local,as_r008,125,130,65,70,3200,NA,200,500,NA
as_r008_l006,local,as_r008,125,130,70,75,3200,NA,200,500,NA
as_r008_l007,local,as_r008,130,135,60,65,3200,NA,200,500,NA
as_r008_l008,local,as_r008,130,135,65,70,3200,NA,200,500,NA
as_r008_l009,local,as_r008,130,135,70,75,3200,NA,200,500,NA
as_r008_l010,local,as_r008,135,140,60,65,3200,NA,200,500,NA
as_r008_l011,local,as_r008,135,140,65,70,3200,NA,200,500,NA
as_r008_l012,local,as_r008,135,140,70,75,3200,NA,200,500,NA
